author,lng,lat
Gregory Nagy,13.5249,-17.2942
Antonya Nelson,-8.2276,-32.8316
Ralph McInerny,12.2155,-29.8184
Elizabeth Kerner,15.8858,-17.4691
Richard Kostelanetz,5.6957,-30.4396
Richard Phillips Feynman,-16.4962,-24.5823
Barbara Wertheim Tuchman,12.1661,-19.7097
Richard Holmes,44.8706,-41.8531
Murray Leinster,9.7658,-44.398
Barry J. Eichengreen,7.8228,-29.5291
Marianne Williamson,-16.0853,-33.7225
Edgar Wallace,7.1415,-42.4945
Matthew Reilly,-0.7841,-48.6387
Harry Mathews,-4.5622,-47.124
Patricia Reilly Giff,0.5094,-45.5318
Philippa Pearce,-2.9358,-45.8163
Arthur Nersesian,-13.921,-36.3259
Steve Berry,24.9948,-28.6256
Mark Strand,-4.0873,-46.0062
Geralyn Dawson,1.4399,-43.258
Robert Penn Warren,-14.0329,-33.5056
Virginia Euwer Wolff,-9.3629,-45.3597
Andrea Barrett,-15.758,-26.794
Roger Scruton,28.32,-5.774
Clarence Major,-11.2018,-31.1559
Tim Palmer,22.1492,-25.7484
Arthur Herman,27.7921,-55.9191
Mary McCarthy,1.5142,-32.9617
Allen Say,-6.5578,-46.184
Richie Tankersley Cusick,-20.579,-35.2413
Sybille Bedford,-18.0238,-34.503
Arthur Hailey,37.5187,-2.7829
James Howe,8.0736,-47.0757
Eric Newby,-6.9442,-44.6533
Timothy Brook,-19.0353,-34.9017
Stewart O'Nan,-21.575,-32.2166
Cameron Dokey,-2.2738,-46.8954
Joel Rosenberg,-2.4691,-46.7009
Robert Bly,-1.2648,-36.3574
John R. Levine,37.8843,-0.525
Nicola Barker,-22.362,-31.9749
Nicholas E. Tawa,31.6753,-18.3857
Pete Dexter,-6.5217,-44.4409
Helen Cresswell,-4.8946,-45.8086
Morton Wagman,20.6132,-0.7555
James Laughlin,-3.8503,-28.4512
Budd Schulberg,10.198,-45.116
Graham Joyce,1.4836,-45.4656
Jane Leslie Conly,-8.2833,-46.6452
C. Jinarajadasa,-5.0347,-14.8784
Hugh Holton,-13.1371,-35.9564
Anne Waldman,18.9746,-6.649
Andrew S. Tanenbaum,8.1757,13.2871
Michael White,-1.6695,-49.1482
James Herriot,-6.4437,-30.8358
Friedrich August Hayek,12.6829,-12.8054
Juan Felipe Herrera,-3.5668,-40.0989
Teresita V. Ramos,-10.5104,-3.2583
Harriet Ziefert,13.0349,-46.069
Amin Maalouf,15.0497,-30.2275
Max Weber,3.9222,-8.8912
Emile Durkheim,13.5601,-3.7686
Gary Jennings,32.3151,-28.8725
David Solway,2.3279,-8.7674
Jürgen Habermas,43.4356,-15.6197
Jacqueline Carey,10.2181,-45.4222
Karen Kijewski,-4.2984,-42.747
Edward S. Herman,29.4939,-20.879
Stephanie S. Tolan,-7.0591,-47.0762
Montague Summers,7.6306,-8.8996
Dale Brown,-9.3379,-29.725
Robert C. Solomon,31.1394,-3.7397
Pamela Sargent,-12.0123,-43.7427
Geoffrey C. Ward,-6.1826,-24.4139
Steve Alten,10.6803,-33.8661
James M. Henslin,0.3508,3.5057
Carolyn Meyer,-8.7428,-46.9742
Brad Strickland,-2.2957,-47.7291
Simon J. Ortiz,31.6313,-31.5334
Ronald Blythe,-13.6079,-35.1494
Julia Kavanagh,-6.2069,-16.9002
Glenn Yeffeth,28.8147,-56.4258
Alice Adams,8.9006,-41.0397
Frances Fox Piven,36.3136,-4.5264
Simon Singh,2.2761,16.317
Judith Guest,-24.8749,-26.5991
Stephen Fry,6.2447,-43.829
Michael Shermer,27.9067,-5.2706
Henry Rider Haggard,-6.3329,-16.7851
Roger Penrose,8.348,13.2123
Thomas Middleton,-3.9358,-15.3681
Edward Hoagland,2.7255,-24.4389
Christian D. Larson,30.4205,-4.6349
William H. Gass,-19.8838,-30.9443
Joseph Smith,6.058,-32.541
Michael Reaves,-1.2174,-49.9342
Susan Orlean,-15.717,-36.101
Patrick White,-14.601,-41.4823
Alan Watts,-1.2805,-15.3618
Tananarive Due,3.0948,-33.0362
Samuel Taylor Coleridge,6.8374,-28.9254
George Lakoff,12.0346,-41.279
Lawrence Durrell,-10.489,-23.7343
Hilari Bell,-30.6452,-19.6204
Robyn Carr,3.1739,-44.4989
Richard Powers,15.5188,-30.0726
Kate DiCamillo,-6.0431,-31.289
Robert Newcomb,-13.0376,-33.1034
Julia London,-16.3639,-36.4141
Tawni O'Dell,6.6296,-47.3318
Guy Gavriel Kay,0.7679,-28.7636
Harriet Ann Jacobs,-10.3095,-12.3752
Dennis Joseph Enright,-11.2686,-25.5083
Heinrich Böll,1.5472,-28.7195
Milton Friedman,10.6273,-10.0499
Bryan Magee,-31.5482,-19.101
Slavoj Žižek,31.1085,-5.8899
Andrea Dworkin,-15.9358,-30.2946
Gary B. Shelly,-18.9963,-36.021
Marilyn Sadler,-3.8278,-49.1954
Charles Brockden Brown,-0.6011,-36.457
Paul Levinson,2.5191,-7.7946
Keith R. A. DeCandido,-8.3335,-40.7002
Stephen Dixon,-21.211,-35.3336
Amiri Baraka,41.4405,-23.7092
Jamake Highwater,-11.6331,-45.2851
Tedd Arnold,4.4036,-46.2199
Richard Scarry,11.4064,-46.5781
Clint Smith,15.2909,14.7851
Haven Kimmel,-13.5816,-36.726
Jean Ure,-3.8112,-42.8202
Jimmy Breslin,7.1989,-45.0492
Lynne Cherry,-19.1883,-35.4882
Joshua Slocum,19.5605,-35.2292
Paul Harmon,11.3421,11.2518
Jon Meacham,-9.0314,-25.8041
Christian Karlson Stead,7.0802,-40.1674
Neal Asher,-7.2739,-34.0328
Niall Ferguson,-7.8435,-19.4692
Nat Brandt,8.6271,-36.7924
Anita Desai,-22.546,-26.0092
Juan Rulfo,-4.9826,-42.2303
Fergus Hume,11.8226,-38.5206
Michio Kaku,-16.6477,-40.2277
Rebecca Harding Davis,-7.792,-21.8803
Arnold Joseph Toynbee,-21.782,-21.6347
Alistair Horne,35.6213,-29.2899
Eric Garcia,-4.6259,-41.3434
Robert Cohen,6.0434,5.5899
Charles Frazier,-12.948,-38.368
Martha Grimes,-15.6568,-36.0674
Tony Parsons,-17.0825,-36.0705
Hugh Kenner,-11.1396,-28.0875
Jay Parini,-6.9975,-6.706
John Lewis Gaddis,23.0323,-11.9573
Denis Johnson,-7.2623,-34.0907
Stanley I. Greenspan,19.308,-1.2309
Robert Conquest,5.6656,-15.3321
Storm Constantine,-18.1712,-31.3794
David Wallechinsky,-3.0975,-4.2655
August Strindberg,7.4875,-27.2637
Tad Williams,46.7182,-40.8025
John Birmingham,-0.8076,-49.903
Alvin M. Josephy,5.7368,-7.8487
John Gray,1.9362,-10.2854
John Sutherland,3.099,-37.5493
Stephen Birmingham,9.3145,-35.1735
Jane Duran,14.2059,-6.6935
Karen Kingsbury,-20.7568,-35.2313
Marguerite Duras,-57.5968,-54.7029
James Q. Wilson,2.1015,-5.2108
Percival Everett,-14.7237,-33.953
Chris Crutcher,9.5452,-44.3916
Albert Einstein,3.7906,-13.3208
Terri Farley,-8.2571,-43.6526
Matthew Rettenmund,8.8992,-42.5199
Richard Schickel,-1.6438,-18.7222
Shahid Javed Burki,-31.21,-15.4488
Albert Pike,11.0789,-33.0306
Kōbō Abe,-2.5379,-46.0528
Keith Maillard,-6.3346,-46.1454
Edward Lear,-3.6823,-45.4312
Sheri S. Tepper,-15.1027,-33.8405
Cecelia Ahern,5.3614,-42.7393
Jeremy Reed,-14.309,-30.5543
M. F. K. Fisher,-19.7082,-32.7126
Louis A. Pérez,10.6885,-27.6328
Nawāl Saʻdāwī,-19.1769,-16.8727
Scott Cunningham,13.9102,-46.1756
Joanna Russ,28.6941,-6.0926
Bill Watterson,-2.8954,-46.3412
Robin Jarvis,-6.3903,-47.1175
Frank McCourt,-7.1389,-32.2223
Patricia Briggs,-15.9771,-36.6767
Cathie Dunsford,-19.448,-28.9927
James M. McPherson,-15.066,-33.0991
Mel Gilden,-2.8364,-33.6345
Moacyr Scliar,36.8021,-40.1794
David Helwig,-12.2229,-33.0156
Harold S. Kushner,-2.29,0.342
S. T. Joshi,-5.1878,-21.7951
Robert Browning,-7.0839,-18.1579
Jane Lindskold,-2.2413,-49.501
Sarah Zettel,-2.2636,-42.4522
Helen Barolini,-1.0518,-12.0735
Malcolm Bradbury,-6.6545,-33.0437
Basil Johnston,34.9996,-28.6791
Mary Gaitskill,-8.7,-45.8394
Carl Deuker,-4.8283,-47.1012
Marjorie Perloff,-16.1711,-32.772
Betsy Cromer Byars,-3.59,-47.3978
Belva Plain,29.3451,-56.7713
Joseph Dov Soloveitchik,-14.3643,-17.4429
Kerry Segrave,32.9792,-16.7761
Philip Kerr,7.8158,-44.2388
Stan Hoig,32.7671,-30.5715
Philip Reeve,-2.7724,-48.6644
James Lane Allen,12.3391,-35.7868
Leo Tolstoy,16.8555,-25.5101
Ellen Raskin,-7.3851,-46.8675
Ted Hughes,-6.6969,-21.6406
John C. Wright,-4.9514,-37.8662
Al Sarrantonio,35.9497,-31.8392
Thomas S. Hischak,-15.2895,-29.9523
Tom Koch,16.6944,-35.5428
Clayton Eshleman,-14.7253,-27.7174
Christopher Fowler,10.3473,-45.7916
Kate McMullan,-4.603,-31.7328
Sarah Fielding,13.5378,-42.1859
Alexander Trocchi,-2.5071,-28.7373
V. Y. Mudimbe,16.4859,-7.4909
Robert Frost,-4.1981,-46.4478
Tony Horwitz,-15.5486,-35.8487
James Dickey,-8.4181,-19.795
Don Winslow,8.5655,-43.5749
Gerina Dunwich,-23.1437,-17.2637
Xia Li,-12.8009,-4.9072
Herbert Asbury,-7.4211,-47.1598
Christopher Rice,-8.8465,-46.3085
Quincy Troupe,-20.8632,-31.4935
Kwame Senu Neville Dawes,5.7168,-44.4561
Annie Dalton,2.6234,-45.4465
Ronald Hutton,1.4113,-41.5707
Graham Salisbury,-5.8125,-43.7887
Sax Rohmer,7.8116,-35.5456
Sue Monk Kidd,-20.5239,-33.9595
Eric Jerome Dickey,7.1011,-44.4459
Barbara Erskine,-7.1386,-43.8826
Henri Michaux,-58.0382,-54.9252
Robin Williams,14.439,-34.7382
James White,-0.669,-48.2803
William H. Rehnquist,-3.7077,-6.9192
Sharon Beder,43.0957,-12.9591
Banana Yoshimoto,-12.123,-28.153
John G. Demaray,10.6951,-8.6898
Erica Brown,19.5324,-8.165
Ron Roy,-4.2907,-46.9393
Robert Plonsey,-1.485,9.9975
Zsuzsanna Ozsváth,17.6456,-26.8414
Gail Gibbons,35.2238,-29.9081
Jay Sanford Shivers,35.3791,-10.5379
Richard J. Maturi,11.7917,-37.5964
Robert M. Press,25.7964,-12.5098
Lilii͡a Fedorovna Shevt͡sova,29.4678,-11.8947
Kristin Eileen Stapleton,28.1245,-14.3531
John D. Donahue,40.9568,-8.0438
Jon Lee Anderson,-17.5483,-29.9117
Mitchell Robert Breitwieser,3.7803,-28.7691
Julian Preece,7.5225,-29.145
Wontack Hong,-33.5244,-15.9016
Helen Fein,36.5277,-15.1278
David A. Rausch,2.9284,-1.5103
Michael N. Barnett,39.7891,-17.0903
Rhodri Jeffreys-Jones,-0.2279,-6.3247
Peter Padfield,-11.6279,-15.7241
Harold F. Schiffman,-31.7361,-15.326
Lucille Mathurin Mair,1.5969,-25.155
Holly Devor,18.9578,-5.7612
Kate Barnes,-15.6329,-26.7284
Lee Harwood,-7.2074,-32.5671
José Latour,-21.3312,-30.1216
Khristine Annwn Page,13.9311,16.9101
Emilio Bejel,22.6262,-29.2301
Anthony James Gregor,34.2309,-20.0992
Suruchi Thapar-Bjorkert,-31.8379,-16.6518
Raphaël Mergui,12.2209,-46.8624
Thomas B. Littlewood,30.603,-21.4773
Christine Quigley,28.7114,-10.2933
Sandra Wilde,28.1845,-0.6007
Edward J. Phillips,20.5056,-21.3047
Richard H. Palmer,9.8083,-11.8819
E. Faas,6.2036,-13.0131
Susan Elizabeth Phillips,-17.0858,-36.1301
Charles Evers,34.7858,-14.7357
David R. Morrell,11.2952,-23.1157
Albert Moran,21.9049,11.8309
Ronald H. Nash,7.3986,-7.6731
Richard Garfinkle,14.7307,-19.8064
Pam Muñoz Ryan,-10.0354,-35.0067
Richard L. Curwin,-11.8487,-5.4513
Tiffanie DeBartolo,7.7925,-45.3319
Helen M. Dingwall,24.7547,-20.4268
Nirmala Rao,22.7167,-12.7351
Eric W. Skjei,34.8042,-1.1205
Ion Mihai Pacepa,-2.4843,-48.8112
John Philip Colletta,-0.9288,-13.7666
Wendy Lesser,19.9922,-8.3618
Carlo Emilio Gadda,-6.0326,-43.1112
Bill Peet,-5.2511,-46.5748
Federico Bonaglia,29.1655,-0.7823
David Freeman Hawke,-7.5473,-17.3056
Tina Stewart Brakebill,21.777,-32.5436
Lee Harris,30.9884,-7.586
Joseph Wong,39.3399,-5.3213
Roger S. Mason,21.9639,-0.6956
Joyce Peseroff,-20.4354,-30.7306
Julian Meldon D'Arcy,-7.6915,-17.5193
Colin Thompson,-9.9318,-1.2227
Hamish Henderson,9.4074,-36.6393
Carroll W. Pursell,-2.0102,-35.3217
Gerald D. Mahan,13.5469,13.1876
Clay Strom,3.9925,-0.0943
Noel Francis Singer,-27.2919,-16.8415
Edwin D. Driver,-8.2624,-5.5818
Sir David Lindsay,-24.2321,-16.6895
Laura Hendrie,-0.8436,-44.8037
Patricia K. Kubow,12.2156,14.8994
Don Graham,-26.7641,-23.5684
Margery Williams Bianco,-8.4454,-1.7527
Claire Badaracco,29.4555,-0.9697
David J. Pelzer,-10.2381,-35.468
William Noel,-4.3033,-18.3205
Robert Norton,26.6393,-2.4228
Amy Helene Kirschke,31.4,-22.8461
Jennifer Mori,19.3615,-14.9606
Bruce Love,10.6602,-19.0864
Richard Parker,31.1824,-1.9136
Sara Coleridge Coleridge,7.3097,-37.6867
Paul Richard Robbins,30.4919,-9.0603
Hugh Howard,9.3547,-31.7334
C. B. McCully,-16.9888,-9.3893
Elke Kaschl,-19.9326,-16.0727
Eden Phillpotts,148.3646,-79.8015
Jervis Anderson,20.9223,-3.2922
David Gress,-0.3031,-9.144
Randy Pearl Albelda,17.0267,-8.6593
Edwin Harris Colbert,-7.4613,1.8187
Steven E. Lobell,36.5426,-4.4748
Paddy McNutt,-9.5802,-7.4561
Donna Brazile,-22.6361,-32.0409
Tetsuko Kuroyanagi,-12.1358,-43.2116
Robert M. Entman,39.7831,-11.3313
Artemis Cooper,4.3995,-29.394
William W. Kaufmann,22.8753,-16.8064
Wayne Grimsley,19.8613,-31.2485
Barbara Fuchs,15.8852,-12.927
Emanuel Levy,-0.4485,-29.5465
Murray Frame,13.5873,-27.3721
Flo Conway,-11.7365,-9.3094
Morton D. Paley,26.0268,-8.1213
A. Belden Fields,18.5108,3.1698
Melvin Patrick Ely,-11.7315,-34.4479
Ada Gabucci,23.413,-28.3179
Kimberly Ann Elliott,39.8133,-6.7256
Qiancheng Li,-26.3182,-17.578
Joseph M. Levine,19.5107,-6.2566
Barre Toelken,34.6852,-28.3183
Edmond Hamilton,-0.8564,-49.9323
Fred C. Hobson,-10.8522,-27.2384
Alejandro Lugo,27.9275,-30.1712
Geoffrey Jensen,28.7846,-19.7133
Charles W. White,16.5126,-28.6803
John Belton,6.3289,6.4633
Hans Ibelings,-8.9603,-7.027
William Russell Bascom,28.824,-15.8661
Gottfried Wilhelm Freiherr von Leibniz,6.6295,-19.7551
Mario A. Murillo,30.3377,-27.0569
Cristian Berco,17.2938,-7.8806
John M. Sloop,21.4993,-2.1679
Brian Gage,-2.3823,-49.1205
Mark Levene,24.7382,-18.3373
Richard Beeman,22.606,-20.0005
David Roe,38.6016,-7.3829
Nancy Rubin,20.5534,-2.7718
Carmen Firan,-17.1584,-33.1329
Ross W. Duffin,15.73,-30.1469
James L. Gould,26.848,-3.8976
Richard M. Moyle,-1.8246,-11.1087
Robert Viscusi,-12.465,-28.9715
Didier Boremanse,33.8651,-27.4354
Taylor Pensoneau,16.2195,-35.194
James L. Huston,34.5042,-8.3621
George Edward Novack,28.5906,-16.0255
Denis Gifford,-9.57,-11.2459
Axinn Professor of English Jay Parini,-11.6258,-28.9114
Ian Wilson,5.6964,-15.5818
Ronald Britton,29.4798,-56.9278
Peter Hughes,-5.1342,0.1562
Lewis F. Fisher,27.5294,-28.0796
Carol Sue Humphrey,30.8046,-18.5472
Sheila Nataraj Kirby,22.0374,0.4397
Frederik Herman Henri Kortlandt,1.1786,-4.3221
Lydia G. Segal,39.3283,-4.1686
Roger Boughton,-0.9056,-50.2123
Charles Joseph Finger,35.1964,-28.0157
P. J. Tracy,-18.046,-37.7514
Ronald Bedford,34.3068,-4.6548
Robert Klein,-14.1244,-33.3545
Mira Kamdar,-32.5243,-16.3146
Ben Witherington,-4.6616,-14.4145
Hussein Alatas (Syed),25.7129,-16.7855
James Erwin Schevill,-15.381,-28.2248
Gesualdo Bufalino,3.5539,-45.1713
A. B. Bosworth,-1.4412,-25.419
Colin Barlow,16.4034,0.8231
Phillip Corwin,40.7922,-15.6913
Dorothy Hobson,31.8375,-10.3247
Karen Lawrence,3.6679,-29.6608
Gary Phillips,8.6764,-30.1636
Maryanne Cline Horowitz,10.9579,-7.8601
Derek Bok,26.7293,-13.3547
Thomas L. Krannawitter,-6.6631,-36.3773
Robert Sallares,-5.8765,-12.3258
Gene Santoro,7.7686,-28.1473
Paul Cooke,3.5073,-29.1708
Robyn M. Dawes,23.6565,-3.0316
Lucy Corin,-19.3949,-30.8342
Melanie Wiber,10.9119,5.1143
Guglielmo Carchedi,6.5735,-15.7265
Chancellor Williams,38.3073,-18.5534
Brian C. Smith,11.7716,12.8499
Alice Sturgis,-13.2921,-33.179
Ben Jeapes,7.9892,-44.8205
Tessa Hadley,-18.3889,-32.493
Ernesto R. Sábato,24.9442,-7.8028
E. J. Lowe,17.3822,-7.763
Eugene Paul Nassar,-18.0353,-30.1304
Kathleen Gregory Klein,4.5808,-6.4378
George C. Galster,41.3221,-9.9636
Ronald C. Benge,-12.7597,-15.0472
Robert E. Baldwin,41.1928,-11.5255
Richard E. Williamson,3.0271,15.2791
Jonathan Lewis Nasaw,-21.9058,-35.987
Susan Stephens,36.7763,-40.1723
D. S. Marriott,-7.7676,-27.5524
Jean-Philippe Mathy,22.2696,-7.8172
Fengyuan Ji,37.6639,-20.6957
R. A. Sharpe,23.536,-4.8539
Garth Ennis,23.9193,-26.8661
Martin Hopenhayn,-1.8104,-29.4944
David McPhail,0.4807,-45.4189
Mary Biggs,4.2729,-8.0208
Miriam Tlali,-18.7738,-32.1866
Lindsey Grant,42.4416,-4.6337
J. F. Bosher,26.2926,-21.1035
Lynda Van Devanter,4.5083,-38.3981
Billy H. Doyle,-3.4349,-5.0332
Kim Scott,7.7879,-43.6467
Robert Sanford Brustein,1.2055,-23.877
Alonzo L. Hamby,11.2825,-32.1318
Michael P. Hornsby-Smith,16.6763,-22.3465
Sharon Mesmer,-9.2657,-29.9792
Alister McGrath,-3.6403,-37.2326
Feng-hsiung Hsu,30.8425,-24.917
Daniel Lord Smail,26.2836,-9.9519
Mary E. Stuckey,6.6927,-2.1306
Dave Russell,24.1916,-32.4709
Kristen Britain,7.0383,-41.7412
Richard Drake,16.4363,-33.7584
Bruno Amable,23.26,-4.3706
Wendy Body,-2.4164,-45.9942
David Wharton,34.5259,-27.7257
David Howard Davis,41.9209,-3.7943
Jaroslav Seifert,-10.8946,-25.5759
Oscar Hahn,-18.3886,-27.7943
David S. Weissbrodt,25.4282,0.4088
Clemens David Heymann,-14.6842,-33.8679
G. D. Bhat,22.6898,-3.8072
Dan Smith,41.5212,-6.5949
Judy Hall,3.2844,-44.5058
Eric Nash,10.6443,-47.2811
Sian Supski,24.4157,-2.463
Richard C. Knott,20.6596,-27.0876
Mostafa Rejai,-3.5582,-2.0747
Dan Vittorio Segre,4.5078,-23.3697
Patricia Altenbernd Johnson,6.7331,6.1333
Stephen Bronner,-10.1268,-35.2002
Richard Black,39.8315,-11.1982
Neil Blain,22.4275,-4.5524
Victoria Pedrick,4.3321,-18.9389
Bill Rosser,6.3313,-37.2002
Anthony Carty,36.0232,-8.5881
W. Awdry,1.0377,-46.1292
Jennifer McLagan,31.9046,-9.7958
Nonso Okereafoezeke,38.2597,-23.2271
John L. H. Keep,21.3387,-23.1679
Julian Beck,-14.9351,-27.5699
Joel Chadabe,-3.1343,-5.8009
Robert Ward,16.1821,-38.3135
Ernest Wallace,39.8384,-12.9278
Charlotte Jay,-4.2667,-43.9882
Christopher Rowley,-1.7324,-49.97
Brian Griffiths,-1.3564,8.4581
Keijiro Otsuka,28.3664,-13.3107
Robert John Bennett,3.2278,-6.7621
Edward W. Packel,-3.0768,10.3785
Elizabeth J. Remick,26.2212,-15.0944
Ernest L. Fortin,5.5939,-13.6311
John Michael Greer,-4.9453,-35.8138
Samuel Mitchell,23.9503,-3.703
Lawrence N. Powell,17.8998,-26.4591
Teddy Slater,-9.5518,-47.2734
Jeswald W. Salacuse,14.4067,9.2145
William D. Murray,2.8011,3.0596
David Fallows,-3.0325,-14.3541
Henry Hart,6.8934,-36.676
Lesley Gill,10.5647,-22.3787
Don Hinrichsen,40.8639,-10.8854
Jack Temple Kirby,9.9166,-33.2383
Dolores E. Cross,-0.5666,-31.6028
Fleur Adcock,-12.9458,-30.8745
Todd Burpo,8.3625,-44.6317
Alice Jenkins,4.3054,-12.5951
Patrick Dixon,42.1233,-7.2262
Jerome S. Legge,41.0299,-5.0553
John George Nicolay,16.7038,-36.2042
Andrew Kaplan,-3.4917,-48.7749
Sandra M. Castillo,-11.6669,-31.2728
Helen Oyeyemi,-7.3202,-34.8494
Erle Stanley Gardner,7.1971,-44.1207
William J. Berg,8.182,37.9676
José Ignacio Avellaneda Navas,31.265,-27.2592
Deanna Holtzman,11.369,-43.2195
Richard Martin,11.6636,-26.4053
Robert Cording,-11.3283,-29.2575
Brian Bartlett,8.0409,-27.8375
Stanley South,16.0606,-19.5113
Anthony Summers,-2.7789,-47.2911
Robert W. Sebesta,13.9686,15.7764
Annelise Riles,20.5903,-7.6872
Christopher Finch,-15.5972,-32.9663
Joan Perkin,18.6823,-12.7746
Sydney Shoemaker,20.4176,-6.9937
Paul McFedries,29.8526,0.8233
Bel Kaufman,-16.1746,-33.08
John Heilemann,-21.0083,-33.6624
Deborah Reed-Danahay,6.9802,-23.9888
Christian Berggren,37.4031,-16.7241
Tom McGowen,0.5174,-46.1189
Ray A. Williamson,35.8217,-28.5247
Leslie Fielding,-6.988,-39.5155
William Speirs Bruce,-8.933,-18.2937
Alfred Alvarez,-13.8734,-29.0251
Meg Greene,3.6895,-44.3628
Annette Wieviorka,-58.2618,-55.039
Charles E. Rosenberg,17.667,-35.8071
Joseph R. Matthews,12.9711,11.448
Norma Clarke,10.6329,-42.9125
John P. Robinson,40.7356,-7.7511
Nadia Diuk,22.786,-23.6597
Jawaharlal Nehru,-30.3224,-18.1511
Bart Jones,23.2265,-31.5858
Keith Dixon,9.4636,-43.7922
John Toland,-24.8044,-23.6048
Peter H. Lee,-22.2079,-21.6478
Allison Hayes-Conroy,18.3023,-0.1116
Yuen Chung Kwong,4.0046,9.4102
Robert Allen Palmatier,17.2513,-2.966
Dan Chiasson,-12.6232,-27.2165
Hanspeter Kriesi,23.1375,-5.3656
Ioan James,8.9579,-17.604
Mercy Amba Oduyoye,34.5366,-16.9608
Saḥar Tawfīq,-4.8297,-29.4964
Muḥammad ibn Aḥmad Shirbīnī,-14.6388,-16.6509
Peter H. Brown,5.4008,-35.6728
Deborah Feldman,-18.2038,-17.1468
John Hartley Williams,8.9885,-29.1318
Edward Swift,-7.1299,-46.4022
I. William Zartman,-2.6661,-11.411
Roger Cardinal,-29.7629,-19.0638
Michael Mitchell,14.0236,-10.98
Marwan R. Buheiry,-2.8572,-7.7528
C.R. Kitchin,5.6255,9.5931
Joseph A. Kechichian,42.1512,-16.651
Thomas L. Greenbaum,37.9157,-3.1858
Melissa A. Hardy,41.7351,-10.8121
Herbert Rutledge Southworth,-1.6445,-13.1914
Walter I. Trattner,-11.0671,-8.2264
Gilles Poitras,11.1413,-47.0091
Theodor Storm,-6.2225,-39.6229
Derek Birrell,18.7651,-17.3252
Don Michael Randel,-9.9897,-5.2512
Carol Fenner,-1.2095,-44.5227
Hamish McRae,-7.2382,-35.4563
Alix Strauss,-16.7476,-35.2125
Mark W. Konnert,16.2301,-18.1733
Ted Padova,15.6001,18.4439
Alfons Weidert,3.0782,-4.0056
Mücahit Kozak,6.2641,15.313
Leta E. Miller,24.9479,-3.6687
Kenneth Blaxter,41.6807,-6.3659
Diane Negra,33.3917,-16.476
Diskin Clay,11.8676,-14.1559
Ramkishen S. Rajan,42.8957,-13.7837
Douglas Todt,7.9393,-44.5254
John Patrick Shanley,-2.6784,-35.9673
Helen Epstein,8.3914,-32.1245
Nâzım Hikmet,14.7385,-25.9436
Burton Silver,10.0751,-48.2335
Irving S. Michelman,24.6145,-22.4091
Carl Sommer,4.1703,-29.6514
Charles J. Brooks,7.2924,7.9457
Lisa Margaret Peppercorn,19.3997,-29.7253
Konrad Wolff,11.6593,-27.6265
Ruthellen Josselson,9.7525,-31.1447
Colin W. Clark,-16.6871,-37.2803
Gerard Malanga,2.8298,-32.7943
Jack Hirshleifer,2.6326,9.7491
Michael Dietrich,26.3984,-1.3763
Ivan Margolius,18.2893,-27.0305
Itzhak Galnoor,9.4714,-17.4923
William Beckford,11.7963,-42.7827
John Charles Chasteen,9.6604,-40.5925
Eleanor Cook,19.2945,-2.7063
Jef Verschueren,31.1961,-1.94
Roy F. Baumeister,31.6159,-2.5907
Jeffrey Hammond,-22.0114,-30.5028
Dean H. Keller,-6.7773,-4.7649
Robert Burt,30.0046,-18.4283
Richard W. T. Pomfret,24.123,-23.0564
George Everard Kidder Smith,-6.2451,-23.8847
Judith Bauer Stamper,33.2942,-27.7821
Froelich Gladstone Rainey,18.1236,-36.0687
Andreas (Capellanus.),14.0526,-20.8698
Michael Ende,46.7965,-40.8613
Pyong Gap Min,41.0518,-10.8338
Lesle Lewis,29.1927,-56.6854
Charles Godfrey Leland,-5.6736,-18.8415
Jim Bradbury,1.2278,-11.759
Leslie Patricelli,3.8505,2.2552
Ryu Murakami,-4.3564,-46.4895
David M. Walker,1.9305,-1.2407
B. Kojo Laing,-12.4546,-43.5965
Josephine Hendin,-9.8526,-45.0075
Brian Paltridge,20.1562,-1.9724
Janne E. Nolan,39.7558,-19.7394
Michael Mewshaw,-3.0012,-44.7001
Dan Lioy,-4.2762,-14.7812
Frederick C. Dahlstrand,0.7524,-9.5068
Cal Clark,37.8727,-21.6241
Ira Jaffe,28.0952,-17.3814
L. J. K. Setright,7.1437,-33.7197
Jane H. Hill,18.5663,-5.6592
Leonard Goldstein,9.8107,-17.7911
Joan Barfoot,-8.7298,-46.0038
Gerald Murnane,2.8644,-36.3391
Jerome Murphy-O'Connor,-8.6278,-4.0197
Eleanor Kutz,37.0408,-5.2217
Charlie Whitham,41.7232,-15.3734
Christopher P. Lehman,-19.5124,-5.4789
George Tenet,43.4883,-14.8951
George Hart,-3.8689,1.8324
Jalal Toufic,-8.9139,-27.8479
Karen Stabiner,-11.9013,-38.7961
Bernard McGinn,6.5004,-36.5831
Grant Gillett,7.467,-11.7496
Bryan Talbot,-5.7734,-38.8854
Diana M. A. Relke,17.62,-29.102
Charles J. Esdaile,22.9729,-24.5529
David Armitage,-15.4056,-33.2945
Herve Jubert,6.2784,-40.5667
Shana Abe,1.833,-48.3878
Johannes Göransson,-13.5859,-24.3173
Dominique Fernández,-58.1175,-54.9636
Philip Jenkins,26.4967,-1.2562
Lesley Howarth,-18.1812,-37.8898
Anthony DiFilippo,-29.3124,-14.6383
Robert C. Prus,16.9498,-1.7851
Yee Chiang,-5.4176,-7.8003
Paul Murray,-14.5045,-39.6447
David G. Chandler,-4.0158,-13.1038
