author,lng,lat
Margaret Wise Brown,-6.509,-45.9286
Jules Verne,16.5592,-30.9885
Carolyn Keene,4.0324,-46.7821
Aristotle,6.3865,-24.9281
Edgar Allan Poe,-7.2382,-46.7736
Frank Herbert,1.0378,-48.992
Haruki Murakami,-12.5577,-40.7759
Sinclair Lewis,-5.075,-32.275
Luanne Rice,-21.2333,-25.6665
Russell Hoban,-5.3038,-45.3285
Sara Douglass,8.2064,-40.7379
Tami Hoag,-7.3458,-30.6525
Umberto Eco,-7.6411,-10.5563
Larry Niven,-0.052,-50.3818
James Albert Michener,1.4601,-47.8547
Laurence Yep,4.6578,-41.841
Mary Elizabeth Braddon,-6.2732,-16.8294
Paul Fleischman,2.3979,-47.5494
Anne Rivers Siddons,9.0106,-42.9528
Robert Jordan,0.2311,-42.8168
Margaret Weis,-21.0107,-34.5239
Sara Paretsky,15.986,-26.2442
Herbert George Wells,28.0559,-32.3251
Dr. Seuss,-18.5617,-36.5623
Cynthia Voigt,-2.3962,-45.5117
Robin Jones Gunn,8.1315,-44.0152
R. A. Salvatore,-16.2504,-38.7268
Clive Barker,4.3852,-42.373
Timothy Zahn,-15.6163,-36.5887
Warren W. Wiersbe,5.1544,-30.5717
David Herbert Lawrence,-8.8006,-44.0645
Frederik Pohl,4.4775,-29.4271
Bernard Cornwell,1.1301,-44.7335
Edward W. Said,8.6682,-14.9981
Carl Hiaasen,26.3904,-31.0748
Laurell K. Hamilton,-2.1594,-49.2778
William James,16.906,-33.5954
Amos Oz,-17.6681,-27.1102
Amelia Atwater-Rhodes,-2.1827,-46.6766
Jack Canfield,1.2871,1.036
Max Allan Collins,-11.9242,-36.5222
Fyodor Dostoyevsky,0.4798,-32.2021
F. Scott Fitzgerald,-8.0892,-45.2106
Joan Didion,-10.2488,-32.7472
John Irving,-12.388,-34.2362
Daniel Defoe,-7.3006,-40.4711
Arthur Conan Doyle,-8.637,-41.2184
Christopher Golden,10.6601,-48.3145
Reginald Hill,-11.9543,-42.1307
Jean M. Auel,-17.011,-31.9644
Franz Kafka,-7.3806,-43.2645
Aldous Huxley,-0.3312,-33.5294
Howard Pyle,0.6747,-31.9374
P. G. Wodehouse,35.5519,-7.6867
Diana G. Gallagher,-6.0989,-46.9672
J. G. Ballard,-6.4338,-48.1818
Thomas Sowell,12.015,5.4048
Len Deighton,-17.5094,-36.7496
Martin Cruz Smith,19.6982,-26.3908
Gore Vidal,-18.8075,-34.5223
James Joyce,0.0729,-31.9772
Joy Hakim,11.4597,4.6315
Ann Rule,-3.2435,-44.6892
Sid Fleischman,-6.232,-47.4469
Thomas Harris,1.4019,-42.4367
Peter Matthiessen,-6.8952,-47.6966
Alice Hoffman,-14.4592,-30.4618
Raymond E. Feist,-16.8744,-36.2986
Vladimir Vladimirovich Nabokov,16.8292,-24.8841
Barbara Park,10.106,-43.2627
Francis Scott Fitzgerald,-6.8457,-33.8627
James Lee Burke,-11.0508,-36.8078
Dick King-Smith,-1.9026,-44.5208
Maya Angelou,-20.9839,-34.2633
Tim F. LaHaye,-3.3283,-34.9764
Ben Bova,-0.6776,0.3773
W. E. B. Griffin,-14.6501,-35.9872
Stephen Jay Gould,13.0626,-42.3292
Gene Wolfe,-13.1017,-35.4362
Jeffery Deaver,-7.3406,-46.5726
Jacques Derrida,6.2992,-13.4737
Susan Cooper,-2.6443,-47.8882
Bertolt Brecht,7.6902,-26.5942
Jimmy Carter,42.489,-12.7121
Michael M. Lewis,-2.0193,-39.5634
Richard Bach,-7.3587,-15.8515
Robert Silverberg,-2.8767,-49.8929
Doris Lessing,36.8255,-40.1818
Bertrand Russell,-16.6732,-13.4165
Warren Adler,13.3775,-43.9856
Richard Harding Davis,12.2701,-43.2301
Muriel Spark,-6.8406,-35.9144
David Baldacci,-7.3061,-46.7739
Victor Hugo,-2.9473,-31.4662
Anna Quindlen,-20.1906,-35.3005
Mercedes Lackey,7.907,-42.5353
David Halberstam,26.5262,-11.865
Vidiadhar Surajprasad Naipaul,-30.9462,-15.316
Robert A. Heinlein,-3.1516,-49.6971
Jane Feather,-12.2271,-34.4729
Lois Lowry,-7.7844,-46.8568
Mel Odom,-2.6694,-44.645
Margaret Mahy,10.247,-44.3369
John Dewey,-5.1282,-17.031
Scott O'Dell,14.8425,-40.0297
Garth Nix,-17.0419,-36.3087
Clyde Edgerton,-9.2249,-35.935
Robert Anson Heinlein,-4.5584,-49.1359
Linda Howard,-17.7104,-35.616
Hermann Hesse,2.4415,-28.4404
Dick Francis,-16.0859,-25.6815
Jackie Collins,12.948,-46.3401
Alexandre Dumas,4.6416,-26.8576
Martin Gardner,-10.495,-30.5398
Ann Rinaldi,-6.9294,-1.7416
Joan Lowery Nixon,-5.5669,-0.5959
Edward Morgan Forster,-7.4347,-9.2676
Lois Ehlert,0.0886,1.3386
Carlos Castaneda,-8.7953,-38.234
Minette Walters,-21.6614,-31.2424
Mem Fox,7.5991,2.823
Don DeLillo,-4.823,-25.8497
Georgette Heyer,10.3602,-39.0205
F. Paul Wilson,0.9064,-37.0594
Robert Cormier,9.8783,-37.3484
Walter Scott,-7.5467,-21.6
Michael Frayn,33.4933,-2.355
Kim Stanley Robinson,2.0803,-49.2835
Lyman Frank Baum,-3.528,-45.2842
Clive Staples Lewis,-9.0989,1.1051
Terry Goodkind,-17.2536,-35.6586
Amy Tan,-16.4224,-24.8002
Tess Gerritsen,-19.4689,-32.1452
P. D. James,18.0385,-34.8204
Greg Bear,-10.8606,-35.8193
Kate Chopin,-10.7192,-5.1384
William Gibson,-18.5512,-33.762
Evelyn Waugh,-13.6655,-32.1569
Sigmund Freud,5.1924,-7.7429
Kenneth Grahame,-23.0918,-28.9276
May Sarton,-8.5389,-44.5848
Rosamunde Pilcher,-22.7873,-33.6675
Thomas Merton,-23.1279,-17.2983
Robert Graves,20.225,-30.9604
Nadine Gordimer,-21.4719,-30.1933
Anna Sewell,-3.3173,-42.5468
Bill Bryson,-29.3891,-18.9983
Nicholas Rescher,15.4184,-5.7033
Saul Bellow,-3.5137,-32.4788
William Dean Howells,-9.837,-37.5182
Louis Daniel Brodsky,-14.2532,-26.4861
Louis Auchincloss,-9.1655,-21.716
Paul Theroux,-20.5189,-30.3383
Theodore Dreiser,0.2196,-28.2492
Isobelle Carmody,-15.9138,-36.8367
Martin Amis,11.7953,-30.4473
Milton Meltzer,12.3718,-36.9589
David Macaulay,-9.2847,-15.2293
Katherine Paterson,0.9202,-44.3243
Pat Conroy,8.3539,-43.5643
Albert Camus,-4.0349,-29.0633
Thomas Mann,-7.409,-29.9439
Gene Stratton-Porter,-0.6992,-45.0449
G. K. Chesterton,13.0836,-42.5872
Studs Terkel,27.8213,-30.3136
Jean Fritz,-1.8823,-5.2809
Lisa Jackson,-22.052,-34.0932
David Drake,10.7905,-45.6284
Paul Strathern,36.5979,-1.3046
Mary Hoffman,-6.7937,-45.0136
Michael Jan Friedman,-1.3806,-50.0825
James Baldwin,-19.8253,-31.2331
E. Lynn Harris,-28.317,-19.9606
Douglas Adams,-1.9043,-50.2201
James Fenimore Cooper,-16.5966,-26.2642
Garry Wills,5.3229,-31.4837
Nevada Barr,4.7639,-42.3558
Terry McMillan,-6.6721,-45.6713
Judith Viorst,12.9005,-47.1358
graf Leo Tolstoy,17.5787,-25.2781
Tom Wolfe,-15.9277,-28.4804
Ken Wilber,29.6599,-4.2861
Homer,12.2796,-43.02
Jorge Luis Borges,-13.7404,-32.927
Jon Scieszka,10.1312,-45.1001
Immanuel Kant,-8.0056,-19.1482
Robertson Davies,-9.8532,-47.1152
Pelham Grenville Wodehouse,-1.2046,-46.865
Dan Brown,-4.2333,-48.4659
Joan Aiken,-31.7157,-18.9402
